ID,TS_NS,LAT_NS
693,1771565294055344176,1191
694,1771565294055345035,809
695,1771565294055401486,35475
696,1771565294055405592,4025
697,1771565294055424851,3918
698,1771565294055512864,64951
699,1771565294055517191,4212
700,1771565294055518143,874
701,1771565294055584532,42410
702,1771565294055588684,4067
703,1771565294055600913,4057
704,1771565294055678124,53160
705,1771565294055682244,4015
706,1771565294055683223,907
707,1771565294055744215,38514
708,1771565294055748311,3980
709,1771565294055767281,4818
710,1771565294055850372,60020
711,1771565294055854882,4417
712,1771565294055855824,872
713,1771565294055877443,4048
714,1771565294055966328,65841
715,1771565294055970727,4302
716,1771565294055971707,904
717,1771565294055987766,4030
718,1771565294056071729,59920
719,1771565294056073065,1244
720,1771565294056073933,817
721,1771565294056133496,39062
722,1771565294056137658,4082
723,1771565294056152869,4028
724,1771565294056228429,52493
725,1771565294056229695,1175
726,1771565294056235289,3961
727,1771565294056306483,47620
728,1771565294056307639,1069
729,1771565294056390259,62126
730,1771565294056392095,1704
731,1771565294056429166,20926
732,1771565294056474990,37203
733,1771565294056479318,4241
734,1771565294056496601,4128
735,1771565294056580992,61191
736,1771565294056582341,1246
737,1771565294056583212,818
738,1771565294056604909,5306
739,1771565294056692126,64481
740,1771565294056696614,4400
741,1771565294056697643,949
742,1771565294056713078,4012
743,1771565294056796723,60387
744,1771565294056801186,4372
745,1771565294056802177,913
746,1771565294056822703,4132
747,1771565294056912092,66742
748,1771565294056913390,1215
749,1771565294056914233,794
750,1771565294056931724,4703
751,1771565294057018029,62586
752,1771565294057019272,1150
753,1771565294057023238,3904
754,1771565294057042216,4280
755,1771565294057132485,67474
756,1771565294057136707,4134
757,1771565294057137692,912
758,1771565294057199704,41960
759,1771565294057200912,1119
760,1771565294057216897,4078
761,1771565294057301536,61836
762,1771565294057302826,1192
763,1771565294057303667,792
764,1771565294057358047,35728
765,1771565294057359206,1079
766,1771565294057416531,39086
767,1771565294057417706,1091
768,1771565294057436968,4148
769,1771565294057525597,65808
770,1771565294057526856,1126
771,1771565294057530968,4059
772,1771565294057548659,4333
773,1771565294057635377,63888
774,1771565294057639735,4252
775,1771565294057640822,1009
776,1771565294057710668,45144
777,1771565294057711885,1133
778,1771565294057724132,4401
779,1771565294057799651,53172
780,1771565294057803972,4233
781,1771565294057804931,885
782,1771565294057874708,45692
783,1771565294057878929,4123
784,1771565294057895501,4265
785,1771565294057986512,67750
786,1771565294057990979,4373
787,1771565294057992055,1000
788,1771565294058013021,4282
789,1771565294058102002,66177
790,1771565294058103356,1266
791,1771565294058107462,4045
792,1771565294058124559,4105
793,1771565294058221507,66923
794,1771565294058225891,4261
795,1771565294058226945,973
796,1771565294058245002,4199
797,1771565294058335087,65767
798,1771565294058336358,1171
799,1771565294058337232,811
800,1771565294058359252,4362
801,1771565294058449665,67066
802,1771565294058454057,4304
803,1771565294058455116,980
804,1771565294058472338,4319
805,1771565294058560575,63878
806,1771565294058565116,4415
807,1771565294058566160,963
808,1771565294058585130,4167
809,1771565294058676774,67349
810,1771565294058681249,4371
811,1771565294058682294,967
812,1771565294058759427,50502
813,1771565294058760667,1152
814,1771565294058772693,4267
815,1771565294058853014,55999
816,1771565294058854342,1232
817,1771565294058858464,4069
818,1771565294058923102,41821
819,1771565294058924362,1172
820,1771565294058942920,4195
821,1771565294059036156,69347
822,1771565294059037625,1372
823,1771565294059038565,881
824,1771565294059062863,4658
825,1771565294059156459,68933
826,1771565294059161121,4544
827,1771565294059162272,1066
828,1771565294059179439,4625
829,1771565294059268869,64945
830,1771565294059270424,1451
831,1771565294059271337,850
832,1771565294059354087,53342
833,1771565294059355454,1271
834,1771565294059365493,5433
835,1771565294059441407,51902
836,1771565294059446130,4628
837,1771565294059452353,4322
838,1771565294059684976,209098
839,1771565294059686686,1563
840,1771565294059691386,4642
841,1771565294059692385,913
842,1771565294059696505,4050
843,1771565294059697571,982
844,1771565294059723291,25660
845,1771565294059738388,14984
846,1771565294059798679,42327
847,1771565294059803430,4649
848,1771565294059820876,4463
849,1771565294059905563,59823
850,1771565294059907024,1367
851,1771565294059917462,4301
852,1771565294059988249,46447
853,1771565294060000586,1482
854,1771565294060005169,4523
855,1771565294060077385,42774
856,1771565294060078737,1254
857,1771565294060102743,5146
858,1771565294060195650,67215
859,1771565294060197171,1398
860,1771565294060201694,4455
861,1771565294060225006,4659
862,1771565294060318468,66746
863,1771565294060320005,1406
864,1771565294060320973,908
865,1771565294060386349,42895
866,1771565294060387624,1179
867,1771565294060410069,4603
868,1771565294060512432,67263
869,1771565294060513836,1306
870,1771565294060520601,5041
871,1771565294060589853,44052
872,1771565294060594434,4466
873,1771565294060610707,4581
874,1771565294060697328,60398
875,1771565294060702381,4953
876,1771565294060703499,1034
877,1771565294060772759,44660
878,1771565294060774099,1239
879,1771565294060795481,5086
880,1771565294060889275,67537
881,1771565294060890741,1359
882,1771565294060891737,937
883,1771565294060950652,36900
884,1771565294060955387,4639
885,1771565294060979930,4716
886,1771565294061081768,76507
887,1771565294061083173,1299
888,1771565294061084133,902
889,1771565294061147991,39598
890,1771565294061149217,1135
891,1771565294061172177,4992
892,1771565294061260548,63704
893,1771565294061262071,1428
894,1771565294061266591,4456
895,1771565294061289226,4357
896,1771565294061390804,67466
897,1771565294061392087,1155
898,1771565294061393005,856
899,1771565294061452827,39904
900,1771565294061454047,1110
901,1771565294061481096,7090
902,1771565294061568460,66090
903,1771565294061569803,1252
904,1771565294061570747,888
905,1771565294061627930,36761
906,1771565294061629171,1145
907,1771565294061704025,47427
908,1771565294061708670,4549
909,1771565294061720792,4302
910,1771565294061806290,59522
911,1771565294061807563,1179
912,1771565294061808459,837
913,1771565294061883309,46485
914,1771565294061887658,4255
915,1771565294061900231,4405
916,1771565294061981670,56463
917,1771565294061983077,1294
918,1771565294061988606,4438
919,1771565294062062325,48693
920,1771565294062063541,1123
921,1771565294062076743,4625
922,1771565294062157437,57204
923,1771565294062158765,1216
924,1771565294062177325,5071
925,1771565294062430711,228818
926,1771565294062432344,1508
927,1771565294062433159,762
928,1771565294062438569,5354
929,1771565294062439518,871
930,1771565294062443262,3685
931,1771565294062444211,871
932,1771565294062445299,1029
933,1771565294062449159,3800
934,1771565294062501571,35860
935,1771565294062502766,1091
936,1771565294062561544,38672
937,1771565294062565888,4255
938,1771565294062583472,4099
939,1771565294062672927,65608
940,1771565294062674255,1237
941,1771565294062675230,920
942,1771565294062697037,4699
943,1771565294062786363,65967
944,1771565294062787724,1270
945,1771565294062791913,4133
946,1771565294062856459,41801
947,1771565294062857575,1031
948,1771565294062876436,4068
949,1771565294062965970,65651
950,1771565294062971946,5764
951,1771565294062973023,1001
952,1771565294063079722,84783
953,1771565294063081770,1862
954,1771565294063093138,6094
955,1771565294063167871,51247
956,1771565294063169289,1311
957,1771565294063181025,4263
958,1771565294063256010,50391
959,1771565294063260486,4391
960,1771565294063261458,893
961,1771565294063332663,45718
962,1771565294063336939,4188
963,1771565294063344875,3824
964,1771565294063433232,58604
965,1771565294063437740,4404
966,1771565294063438743,928
967,1771565294063494539,37138
968,1771565294063495708,1064
969,1771565294063516823,4217
970,1771565294063606000,65459
971,1771565294063610282,4149
972,1771565294063611267,914
973,1771565294063626141,3858
974,1771565294063712420,63491
975,1771565294063713749,1240
976,1771565294063714617,815
977,1771565294063735354,4371
978,1771565294063826515,68529
979,1771565294063827970,1368
980,1771565294063831854,3821
981,1771565294063895907,43116
982,1771565294063897138,1142
983,1771565294063918156,4096
984,1771565294064006940,65450
985,1771565294064011313,4288
986,1771565294064012305,914
987,1771565294064027593,3866
988,1771565294064114370,63678
989,1771565294064115702,1243
990,1771565294064119556,3800
991,1771565294064188296,45597
992,1771565294064189500,1117
993,1771565294064264770,66513
994,1771565294064266042,1184
995,1771565294064266937,846
996,1771565294064283929,4226
997,1771565294064310362,4001
998,1771565294064387961,54781
999,1771565294064389138,1073
1000,1771565294064393092,3901
1001,1771565294064456830,41929
1002,1771565294064457978,1059
1003,1771565294064517862,40237
1004,1771565294064519096,1145
1005,1771565294064537659,4393
1006,1771565294064626556,65745
1007,1771565294064627875,1231
1008,1771565294064632351,4427
1009,1771565294064691055,38111
1010,1771565294064692194,1054
1011,1771565294064711836,4073
1012,1771565294064799874,65411
1013,1771565294064801161,1201
1014,1771565294064805083,3868
1015,1771565294064819455,4081
1016,1771565294064902533,59325
1017,1771565294064906698,4085
1018,1771565294064907717,943
1019,1771565294064928574,3945
1020,1771565294065018427,67045
1021,1771565294065022916,4293
1022,1771565294065023910,924
1023,1771565294065044273,3976
1024,1771565294065127584,60280
1025,1771565294065132008,4328
1026,1771565294065133005,923
1027,1771565294065190381,39125
1028,1771565294065194620,4149
1029,1771565294065210564,4384
1030,1771565294065296951,63284
1031,1771565294065298172,1114
1032,1771565294065299013,784
1033,1771565294065322542,7135
1034,1771565294065407240,65001
1035,1771565294065408465,1138
1036,1771565294065409350,836
1037,1771565294065480211,46770
1038,1771565294065481507,1193
1039,1771565294065492410,4023
1040,1771565294065582614,59884
1041,1771565294065587319,4619
1042,1771565294065588331,935
1043,1771565294065608393,4051
1044,1771565294065697703,66609
1045,1771565294065699070,1282
1046,1771565294065699928,809
1047,1771565294065717012,4526
1048,1771565294065798018,58500
1049,1771565294065799349,1247
1050,1771565294065803352,3950
1051,1771565294065858823,37359
1052,1771565294065860022,1117
1053,1771565294065879754,4248
1054,1771565294065969585,66326
1055,1771565294065970932,1247
1056,1771565294065974866,3885
1057,1771565294065988970,3951
1058,1771565294066072538,60364
1059,1771565294066073903,1268
1060,1771565294066082117,4217
1061,1771565294066149170,44540
1062,1771565294066150452,1186
1063,1771565294066166777,4879
1064,1771565294066270827,73145
1065,1771565294066272220,1303
1066,1771565294066273162,889
1067,1771565294066292801,4649
1068,1771565294066422955,107128
1069,1771565294066424991,1888
1070,1771565294066431547,6468
1071,1771565294066433128,1498
1072,1771565294066506584,46833
1073,1771565294066511265,4588
1074,1771565294066521358,4155
